id;search_log_id;adults;children;picked_room;picked_price;picked_room.1
5755;129533;1;1;;;
5756;129534;1;0;;;
5757;129535;2;1;;;
5758;129536;2;0;;;
5759;129537;2;0;;;
5760;129538;2;0;;;
5761;129539;2;0;;;
5762;129540;2;0;;;
5763;129541;2;0;;;
5764;129542;2;0;;;
5765;129543;2;0;;;
5766;129544;2;0;;;
5767;129545;2;0;;;
5768;129546;2;0;;;
5769;129547;2;1;;;
5770;129548;2;1;;;
5771;129549;2;2;;;
5772;129550;1;2;;;
5773;129551;2;0;;;
5774;129552;2;1;;;
5775;129553;2;1;;;
5776;129554;1;2;;;
5777;129555;2;2;;;
5778;129556;2;2;;;
5779;129557;2;2;;;
5780;129558;2;0;;;
5781;129559;2;0;;;
5782;129560;1;0;;;
5783;129560;2;0;;;
5784;129561;1;0;;;
5785;129561;2;0;;;
5786;129562;1;1;;;
5787;129563;1;0;;;
5788;129563;2;0;;;
5789;129564;1;1;;;
5790;129565;1;1;;;
5791;129566;1;0;;;
5792;129566;2;0;;;
5793;129567;1;0;;;
5794;129567;2;0;;;
5795;129568;2;0;;;
5796;129569;2;0;;;
5797;129570;2;0;;;
5798;129571;2;0;;;
5799;129572;2;0;;;
5800;129573;2;0;;;
5801;129574;2;0;;;
5802;129575;2;0;;;
5803;129576;2;0;;;
5804;129577;2;0;;;
5805;129578;2;0;;;
5806;129579;2;0;;;
5807;129580;2;0;;;
5808;129581;2;0;;;
5809;129582;2;0;;;
5810;129583;2;0;;;
5811;129584;1;2;;;
5812;129585;2;0;;;
5813;129586;1;1;;;
5814;129587;2;0;;;
5815;129588;3;0;;;
5816;129589;2;1;;;
5817;129589;0;0;;;
5818;129590;2;0;;;
5819;129591;2;0;;;
5820;129592;2;0;;;
5821;129593;2;0;;;
5823;129595;2;0;;;
5824;129596;2;3;;;
5825;129597;2;0;;;
5826;129598;2;0;;;
5827;129599;2;0;;;
5828;129600;2;0;;;
5829;129601;2;0;;;
5830;129602;2;3;;;
5831;129603;2;0;;;
5832;129604;2;0;;;
5833;129605;1;0;;;
5834;129606;2;0;;;
5835;129607;2;0;;;
5836;129608;2;0;;;
5837;129609;2;0;;;
5838;129610;2;0;;;
5839;129611;2;0;;;
5840;129611;2;0;;;
5841;129612;2;0;;;
5842;129613;2;0;;;
5843;129614;2;0;;;
5844;129615;2;1;;;
5845;129616;2;0;;;
5846;129617;2;0;;;
5847;129618;2;0;;;
5848;129619;2;0;;;
5849;129620;2;0;;;
5850;129621;2;0;;;
5851;129622;2;0;;;
5852;129623;2;0;;;
5853;129624;2;0;;;
5854;129624;2;0;;;
5855;129625;2;1;;;
5856;129626;2;0;;;
5857;129627;2;0;;;
5858;129628;2;0;;;
5859;129629;2;0;;;
5860;129630;2;0;;;
5861;129631;3;0;;;
5862;129632;2;0;;;
5863;129633;3;0;;;
5864;129634;3;0;;;
5865;129635;2;0;;;
5866;129636;1;1;;;
5867;129637;1;1;;;
5868;129638;2;1;;;
5869;129639;1;1;;;
5870;129640;2;1;LAX;166892.0;ROOMAA
5871;129641;1;1;;;
5872;129642;2;0;;;
5873;129643;2;0;;;
5875;129645;1;1;;;
5876;129646;1;1;;;
5877;129647;1;1;;;
5878;129648;2;0;;;
5879;129649;1;1;STN;87577.0;ROOMBB
5880;129650;2;0;;;
5881;129651;2;0;;;
5882;129652;2;0;;;
5883;129653;1;1;;;
5884;129654;1;0;;;
5885;129655;2;0;;;
5886;129656;2;0;;;
5887;129657;2;0;;;
5888;129658;2;0;;;
5889;129659;2;0;;;
5890;129660;2;0;;;
5891;129661;2;3;;;
5892;129662;2;0;;;
5893;129663;2;1;;;
5895;129665;2;0;;;
5897;129667;2;0;;;
5898;129668;2;0;;;
5900;129670;2;1;;;
5901;129671;2;1;;;
5904;129674;2;0;;;
5905;129675;2;0;;;
5906;129676;2;0;;;
5907;129677;2;0;;;
5908;129678;2;0;;;
5909;129679;2;0;;;
5910;129680;2;0;;;
